"idUSer";"timestamp";"code";"idJoint0";"x0";"y0";"z0";"a0";"idJoint1";"x1";"y1";"z1";"a1";"idJoint2";"x2";"y2";"z2";"a2";"idJoint5";"x5";"y5";"z5";"a5";"idJoint6";"x6";"y6";"z6";"a6";"idJoint8";"x8";"y8";"z8";"a8";"idJoint11";"x11";"y11";"z11";"a11";"idJoint12";"x12";"y12";"z12";"a12";"idJoint14";"x14";"y14";"z14";"a14";"idJoint16";"x16";"y16";"z16";"a16";"idJoint17";"x17";"y17";"z17";"a17";"idJoint19";"x19";"y19";"z19";"a19";"idJoint20";"x20";"y20";"z20";"a20";"idJoint21";"x21";"y21";"z21";"a21";"idJoint23";"x23";"y23";"z23";"a23"
1;1342368658452;longArmed;0;419.153;142.28426;2580.9597;1.0;1;380.65097;182.07803;2638.967;1.0;2;367.52618;215.6784;2685.668;1.0;5;369.22604;182.45772;2518.6445;1.0;6;370.37506;230.5193;2379.199;1.0;8;435.03476;248.01112;2205.0813;1.0;11;391.07944;181.73148;2759.2898;1.0;12;378.45502;214.90123;2873.1003;1.0;14;393.9845;248.66014;2989.8289;1.0;16;346.74426;250.3941;2651.2576;1.0;17;341.7292;339.0249;2569.8188;1.0;19;331.55142;413.93924;2651.17;1.0;20;362.4885;245.99681;2813.4802;1.0;21;361.26352;321.13446;2752.072;1.0;23;353.2384;388.1804;2796.268;1.0
1;1342368658573;longArmed;0;411.20856;133.76088;2597.8716;1.0;1;385.25363;172.05121;2655.7087;1.0;2;369.70795;209.50337;2691.1067;1.0;5;366.49762;165.64896;2541.1482;1.0;6;360.49326;209.93181;2414.4382;1.0;8;426.98804;202.04237;2219.6467;1.0;11;402.4584;177.92395;2770.2693;1.0;12;377.56235;223.39511;2840.3967;1.0;14;391.97437;248.62242;2897.8904;1.0;16;343.40628;244.28233;2660.0542;1.0;17;339.73804;329.9605;2574.292;1.0;19;329.70428;405.35193;2654.566;1.0;20;365.19455;247.60283;2792.9548;1.0;21;364.56046;329.9006;2747.2986;1.0;23;355.4429;397.32443;2791.1377;1.0
1;1342368658651;longArmed;0;401.78668;128.23253;2626.677;1.0;1;376.52484;167.35443;2685.858;1.0;2;365.71918;207.19519;2708.5393;1.0;5;349.54672;159.74191;2606.9192;1.0;6;363.48843;202.57109;2405.8862;1.0;8;410.12756;147.88495;2231.9937;1.0;11;401.96243;174.53227;2764.7966;1.0;12;384.46393;214.48807;2791.213;1.0;14;427.3234;194.34338;2856.2817;1.0;16;340.55368;243.62721;2688.3796;1.0;17;333.01367;327.63486;2605.1033;1.0;19;325.34363;400.23306;2705.9878;1.0;20;369.1832;249.03638;2774.0618;1.0;21;368.36462;330.2273;2724.886;1.0;23;360.20575;398.87286;2766.0479;1.0
1;1342368658759;longArmed;0;390.25912;123.35256;2659.428;1.0;1;370.8047;165.05792;2704.8384;1.0;2;362.58838;205.597;2718.9937;1.0;5;344.40448;158.76407;2637.9587;1.0;6;350.79758;179.39694;2407.0913;1.0;8;387.80225;124.59659;2252.6108;1.0;11;395.93088;171.04807;2771.718;1.0;12;426.35965;183.7272;2860.942;1.0;14;416.72397;180.91519;2794.99;1.0;16;339.27008;243.30968;2694.459;1.0;17;331.9117;327.7663;2620.0916;1.0;19;325.20117;397.65427;2723.7083;1.0;20;369.2203;248.05547;2771.839;1.0;21;368.02722;328.49;2732.7942;1.0;23;360.4823;397.75058;2774.7144;1.0
1;1342368658837;longArmed;0;381.33795;114.248215;2682.1628;1.0;1;364.12546;157.4168;2719.5251;1.0;2;359.10657;200.99094;2725.1924;1.0;5;334.1005;152.14964;2650.8154;1.0;6;334.49466;135.17036;2407.49;1.0;8;354.71097;90.660095;2347.4597;1.0;11;392.67065;162.42435;2788.2349;1.0;12;441.0912;162.46397;2788.0461;1.0;14;452.7503;111.00196;2595.8723;1.0;16;338.64328;242.84564;2695.1848;1.0;17;327.03363;325.9295;2652.6362;1.0;19;322.86996;397.25247;2763.9697;1.0;20;369.17484;245.88315;2766.5344;1.0;21;366.3668;326.23206;2746.6538;1.0;23;361.26245;397.5576;2773.8079;1.0
1;1342368658931;longArmed;0;379.24786;110.211006;2692.732;1.0;1;360.75668;151.03113;2731.0122;1.0;2;357.12;196.98581;2732.2786;1.0;5;328.61353;146.46292;2669.8376;1.0;6;332.41968;137.11981;2413.0994;1.0;8;336.1641;61.287514;2399.6128;1.0;11;391.49136;155.39915;2792.1865;1.0;12;442.62592;143.52608;2784.0464;1.0;14;448.757;86.89447;2611.8357;1.0;16;337.0803;241.64713;2702.1062;1.0;17;324.90985;326.57095;2672.0332;1.0;19;321.93472;398.15225;2779.165;1.0;20;369.51996;244.12027;2764.984;1.0;21;366.8398;325.37164;2745.157;1.0;23;361.79788;397.15253;2771.977;1.0
1;1342368658997;longArmed;0;369.46017;102.4463;2730.2888;1.0;1;354.05212;139.95409;2782.9792;1.0;2;351.3964;186.35149;2773.453;1.0;5;322.54675;137.22105;2764.0876;1.0;6;300.23172;116.13756;2535.4915;1.0;8;313.07733;34.8417;2502.3857;1.0;11;385.13266;142.65028;2801.871;1.0;12;434.23083;129.31876;2790.4932;1.0;14;438.79825;57.04462;2644.3867;1.0;16;329.26843;231.77557;2752.3242;1.0;17;321.65143;317.3485;2706.0796;1.0;19;319.15512;391.57626;2812.743;1.0;20;368.01364;234.35101;2775.5286;1.0;21;368.00662;323.30573;2762.4983;1.0;23;362.9524;399.85526;2761.8662;1.0
1;1342368659087;longArmed;0;365.6366;101.617584;2755.8467;1.0;1;353.3818;139.37996;2784.7861;1.0;2;348.98193;184.22266;2770.923;1.0;5;321.81644;135.57074;2772.356;1.0;6;297.28665;110.71384;2570.4658;1.0;8;297.12054;34.549625;2558.218;1.0;11;384.6666;143.1553;2797.2163;1.0;12;423.85623;116.72798;2757.2527;1.0;14;432.20877;46.972813;2662.368;1.0;16;327.08743;227.63625;2750.2517;1.0;17;320.88647;314.6073;2698.059;1.0;19;317.66025;389.39136;2813.0298;1.0;20;361.90228;231.38715;2763.8687;1.0;21;365.50198;318.7915;2764.5437;1.0;23;363.25928;400.09424;2768.4233;1.0
1;1342368659153;longArmed;0;358.75745;99.12482;2750.8835;1.0;1;346.45917;137.06798;2800.4753;1.0;2;344.6572;181.83472;2785.9512;1.0;5;315.8088;135.07007;2787.0427;1.0;6;276.21698;98.7812;2654.2883;1.0;8;283.98682;23.201708;2643.173;1.0;11;376.8169;139.04683;2813.908;1.0;12;419.5839;112.25501;2770.6492;1.0;14;418.69864;40.840473;2708.8813;1.0;16;325.52292;226.18764;2763.9067;1.0;17;320.5161;313.2366;2717.0225;1.0;19;316.96945;388.07602;2836.7627;1.0;20;360.0561;227.94891;2778.9473;1.0;21;363.68707;314.2123;2751.1697;1.0;23;363.5359;398.31732;2757.0237;1.0
1;1342368659227;longArmed;0;357.35992;98.86792;2756.5833;1.0;1;345.09174;136.5301;2807.6047;1.0;2;343.22382;180.39774;2788.132;1.0;5;314.32925;134.5939;2798.1917;1.0;6;276.08908;102.632256;2679.3574;1.0;8;281.72488;23.97131;2669.5693;1.0;11;375.64865;138.45335;2817.0176;1.0;12;418.0029;110.86542;2773.352;1.0;14;415.04938;36.504745;2708.0637;1.0;16;323.60568;223.9385;2763.306;1.0;17;319.02448;310.87216;2738.1187;1.0;19;316.89163;386.9351;2839.7996;1.0;20;358.98517;225.8227;2774.013;1.0;21;363.65833;313.9068;2747.9587;1.0;23;363.91968;397.21545;2762.4597;1.0
