@RELATION skeleton

@ATTRIBUTE x0 REAL
@ATTRIBUTE y0 REAL
@ATTRIBUTE z0 REAL
@ATTRIBUTE x1 REAL
@ATTRIBUTE y1 REAL
@ATTRIBUTE z1 REAL
@ATTRIBUTE x2 REAL
@ATTRIBUTE y2 REAL
@ATTRIBUTE z2 REAL
@ATTRIBUTE x5 REAL
@ATTRIBUTE y5 REAL
@ATTRIBUTE z5 REAL
@ATTRIBUTE x6 REAL
@ATTRIBUTE y6 REAL
@ATTRIBUTE z6 REAL
@ATTRIBUTE x8 REAL
@ATTRIBUTE y8 REAL
@ATTRIBUTE z8 REAL
@ATTRIBUTE x11 REAL
@ATTRIBUTE y11 REAL
@ATTRIBUTE z11 REAL
@ATTRIBUTE x12 REAL
@ATTRIBUTE y12 REAL
@ATTRIBUTE z12 REAL
@ATTRIBUTE x14 REAL
@ATTRIBUTE y14 REAL
@ATTRIBUTE z14 REAL
@ATTRIBUTE x16 REAL
@ATTRIBUTE y16 REAL
@ATTRIBUTE z16 REAL
@ATTRIBUTE x17 REAL
@ATTRIBUTE y17 REAL
@ATTRIBUTE z17 REAL
@ATTRIBUTE x19 REAL
@ATTRIBUTE y19 REAL
@ATTRIBUTE z19 REAL
@ATTRIBUTE x20 REAL
@ATTRIBUTE y20 REAL
@ATTRIBUTE z20 REAL
@ATTRIBUTE x21 REAL
@ATTRIBUTE y21 REAL
@ATTRIBUTE z21 REAL
@ATTRIBUTE x23 REAL
@ATTRIBUTE y23 REAL
@ATTRIBUTE z23 REAL
@ATTRIBUTE class {sitting, standing}

@DATA
312.04382,113.35001,2378331,298.59338,160.65092,2382.3398,292.64413,201.68999,2367725,275.50522,152.55847,2293.6406,297.2211,194.44743,2141.1724,386.94595,196.55714,2009.9469,320.02405,168.16243,2471039,345.20554,221.40768,2421.6846,349.25195,229.18465,2062511,277.28708,241.29736,2317.5898,230.98204,300.02228,2046.9265,253.02144,381.18805,2124094,295.67725,245.12251,2388.6309,318.4733,311.30295,2078.6292,299.95187,393.44696,2189.9924,sitting
311.68323,113.24438,2377.6516,297.69626,160.99838,2381678,293.08194,201.81485,2374.1658,277.33975,154.36507,2283.6697,300.92374,197.26817,2131276,388.94214,193.48824,2004145,316.44357,167.10736,2479.6865,343.6313,217.57953,2449.3652,347.6253,224.94855,2081.0632,280.12173,241.64066,2326.64,233.46896,304.75516,2067852,255.91988,385.53552,2154.3845,296.4784,244.09863,2406.6672,317.90833,303.75244,2050289,297.93008,389.79016,2165.6567,sitting
311173,113.044876,2377.4468,295.62094,159.86543,2381.2542,291.97244,201.1914,2385.1995,272.1252,155.22307,2291276,298.25906,202.45187,2139.9587,368.0406,210.43161,2029253,317.4057,164.16974,2471.2327,338.73038,212.27394,2436.0295,350.4375,219.46246,2080.5251,273.55814,241.50972,2332.2334,234.14879,307.1739,2061156,255.98537,389.20078,2143.4956,302.42615,243.21155,2446056,318.52438,298.8106,2054933,297.20795,386.19418,2175.6482,sitting
303.18942,108.03076,2384.8184,290.9455,161.72331,2392.3005,288.9397,202.90364,2399183,262.6359,158.7987,2327962,263.1219,212.94977,2169.8557,311.03003,220.75996,2089975,317.77228,164.49475,2456.6392,337.86588,215.96129,2413353,318.47742,211.43417,1961.5819,268.94153,243.4335,2364.6655,232.90567,303.34213,2054138,252.74402,386.98984,2130.4238,304.34006,244.24922,2447466,314.44138,293.69522,2097.0747,299.69296,387.8805,2193.8,sitting
300.6414,106.72942,2396.6887,289.76877,161968,2413814,288.36542,203.83456,2416367,262.02396,159.8207,2372.5164,241.07489,212.26518,2311.4285,270.14615,216.60754,2024.8347,316.5802,164.04306,2455.1113,332.88486,217.2287,2451754,287.50568,222.04387,1930.7052,268.37393,245.15033,2391.08,233.61606,303.0916,2084.8008,251.05634,386.06927,2138548,305133,246.06467,2446.76,318.45905,293.40054,2093.5842,301.23334,388.3894,2186.8638,sitting
298.8188,107.16226,2414.5635,284.66895,160.7331,2456.3723,283.5302,201.84416,2435.3188,255.81027,160.64584,2464.5479,225.3195,205.47281,2354.6145,216.53667,253.4255,2270.5703,313.7204,160.82092,2448197,330.09213,215.14536,2479.3823,305.2962,226.15428,2008.6217,260.23322,243.3942,2420.4263,237.3298,299.77875,2100.4014,248.27626,387.66467,2142.4312,304.62332,243.95175,2408.1042,323.8328,293.7366,2084.7705,304.35767,386.45673,2187.28,sitting
296.21512,107.99059,2428.8616,281.45078,161.80522,2456839,279.2482,201.1641,2438.8828,250.19354,160.87791,2467.15,218.85925,206.97829,2380756,174.59787,262.78604,2150.9531,312.97147,162.74033,2446528,328.92682,217.22882,2499428,317.57162,250.05354,2237722,252.6625,240.12566,2428839,236.29233,303.49628,2093.8877,248.72397,390.10696,2144.65,301.5231,242.09444,2413014,324.54794,291.63248,2081.4883,304.17923,383.83054,2185.6963,sitting
291.6765,108.26561,2440.6353,279.3966,161.99908,2459.1448,275.87064,202.38371,2448444,246.39763,159.5639,2465363,209.17474,204.53021,2489.73,147.09,261.5747,2351.7488,312.5629,164.4466,2452.9265,327.35095,218.5092,2512.43,315.3147,250.07143,2266373,247.70071,241.15288,2442.3406,227.48228,300.61087,2072.5388,249.9727,390.06366,2148.9885,297.01968,245.10034,2433.1462,324258,292.53583,2096.2847,304.4775,386.96207,2175.8872,sitting
288.28592,108.01897,2444.9514,278.4665,163.82884,2460.7214,275.19476,203.72565,2448.0408,245.67264,161.7141,2468.6855,209.31287,207.49483,2500.0156,150.21248,261.7619,2448.6572,311.47333,165.95729,2452757,327.25177,217.94443,2500.7334,314.34534,247.59802,2269.9182,247.92618,242.30249,2441.1184,225.7062,300.67532,2060.2788,250.90518,388.88956,2154.8743,295.96533,245.78163,2429602,323.51926,296.50214,2085.8264,304.0623,386.86194,2171.8425,sitting
287.84763,108.154144,2444.0515,277.99628,164.12378,2462801,274.70978,203.64809,2456.8557,245.34612,162.14241,2479.8499,208.9938,208.42853,2525.8765,150.43793,262.23984,2492.0754,311.10162,166.13278,2445.7522,326.03778,213.01471,2484998,319.20755,253.98824,2267594,245.83054,241.3825,2464.2,225.2455,298.55597,2052796,249.51149,388.88995,2145.1033,297263,245.36737,2437.6208,324.17505,296.63504,2091.3901,304.79257,386.38007,2178.9548,sitting
