"idUSer";"timestamp";"code";"idJoint0";"x0";"y0";"z0";"a0";"idJoint1";"x1";"y1";"z1";"a1";"idJoint2";"x2";"y2";"z2";"a2";"idJoint5";"x5";"y5";"z5";"a5";"idJoint6";"x6";"y6";"z6";"a6";"idJoint8";"x8";"y8";"z8";"a8";"idJoint11";"x11";"y11";"z11";"a11";"idJoint12";"x12";"y12";"z12";"a12";"idJoint14";"x14";"y14";"z14";"a14";"idJoint16";"x16";"y16";"z16";"a16";"idJoint17";"x17";"y17";"z17";"a17";"idJoint19";"x19";"y19";"z19";"a19";"idJoint20";"x20";"y20";"z20";"a20";"idJoint21";"x21";"y21";"z21";"a21";"idJoint23";"x23";"y23";"z23";"a23"
2;1342369905783;fallen;0;387.62857;257.1747;2557.2368;1.0;1;317.29733;277.22873;2370.3555;1.0;2;328.51285;286.97534;2387.367;1.0;5;313.08075;269.25848;2487.1309;1.0;6;262.91806;289.94592;2535.6511;1.0;8;214.75949;318.28812;2264.2256;1.0;11;321.9509;286.02496;2253.5803;1.0;12;390.7979;294.07755;2287.1018;1.0;14;450.2044;270.19025;2558.7144;1.0;16;331.70547;283.31494;2585.8162;1.0;17;402.32574;278.54163;2614.1704;1.0;19;467.13348;264.49622;2718.9133;1.0;20;348.71762;312.01926;2222.9404;1.0;21;364.99835;375.8881;1816.1772;1.0;23;334.59097;379.99466;2250.96;1.0
2;1342369905857;fallen;0;319.04843;226.6454;2266.1423;1.0;1;320.4518;276.3186;2381.409;1.0;2;330.60254;286.25177;2394.6545;1.0;5;318.51807;268.90622;2488.254;1.0;6;270.63718;291.85248;2510.4944;1.0;8;215.54622;317.79306;2266.1013;1.0;11;322.5672;284.4274;2274.5642;1.0;12;390.84683;291.99304;2308.4062;1.0;14;455.54434;266.8227;2603.2688;1.0;16;336.05234;282.53925;2590.1494;1.0;17;405.29425;278.42087;2616.3926;1.0;19;475.2671;264.42657;2709.9185;1.0;20;345.98248;311.8289;2225.6506;1.0;21;358.6758;374.62225;1806.6525;1.0;23;332.65442;380.9662;2254.4392;1.0
2;1342369908801;fallen;0;265.69028;307.2244;2124.2;1.0;1;293.37274;290.40884;2231.3237;1.0;2;314.14322;289.1897;2325.3704;1.0;5;275.11365;290.1132;2295.214;1.0;6;244.53934;299.97958;2372.7786;1.0;8;182.0218;326.42615;2105.7422;1.0;11;312.7083;290.72195;2167.4333;1.0;12;265.81445;313.45053;2024.4082;1.0;14;298.5286;269.6096;2376.4124;1.0;16;323.87592;287.95325;2452.6287;1.0;17;339.1975;339.1763;2059.1287;1.0;19;476.91382;251.8588;2698.2007;1.0;20;342.9842;288.18054;2386.205;1.0;21;343.60184;360.21317;1996.2998;1.0;23;334.15253;406.77426;2150.6072;1.0
2;1342369908942;fallen;0;263.2908;309.28888;2133.8342;1.0;1;293.74796;291.72974;2246.3662;1.0;2;314.10925;293.12482;2326.6743;1.0;5;277.58588;288.0835;2314.3557;1.0;6;221.52266;292.5469;2347.1963;1.0;8;187.64201;318.96576;2132.4595;1.0;11;310.91885;295.60358;2178.3767;1.0;12;403.08533;285.85406;2459.7798;1.0;14;455.15283;261.7518;2740.819;1.0;16;320.13187;291.6346;2461.1726;1.0;17;250.96431;319.47116;2074.131;1.0;19;432.7432;270.31595;2518.8853;1.0;20;346.6898;297.34766;2352.7925;1.0;21;349.3495;348.87256;2020.6129;1.0;23;340.61993;397.63995;2182.051;1.0
2;1342369909181;fallen;0;261.39105;307.80923;2124.9695;1.0;1;298.58682;285.80267;2269.0322;1.0;2;317.80014;288.99783;2336.0764;1.0;5;284.04816;287.00598;2335.4011;1.0;6;226.29709;298.76715;2387.8674;1.0;8;188.41202;324.0415;2169.9539;1.0;11;314.00162;284.5269;2202.6633;1.0;12;403.0862;278.41104;2416.2468;1.0;14;442.73215;264.61307;2624.1882;1.0;16;328.667;292.49347;2435.3936;1.0;17;337.8918;365.0103;1911.8933;1.0;19;240.0233;305.07742;2379.126;1.0;20;343.41382;291.52286;2370.848;1.0;21;346.82104;362.0348;1956.9232;1.0;23;333.50012;400.9885;2209.2197;1.0
2;1342369909255;fallen;0;263.7249;294.32602;2159.2195;1.0;1;308.30453;279.56717;2295.8806;1.0;2;324.09793;285.05588;2366.75;1.0;5;296.01944;277.3477;2343.7625;1.0;6;231.43983;298.76175;2372.2412;1.0;8;190.75711;314.28632;2193.1401;1.0;11;321.11298;281.88116;2247.999;1.0;12;388.97565;283.09473;2392.9788;1.0;14;438.0809;264.32022;2611.708;1.0;16;331.4294;288.80154;2467.0657;1.0;17;342.85907;365.5379;1887.3093;1.0;19;242.81923;317.0604;2339.4143;1.0;20;346.70105;291.68423;2408.1729;1.0;21;345.88806;355.1272;1982.273;1.0;23;330.09024;401.00195;2211.2278;1.0
2;1342369909324;fallen;0;385.84567;250.89209;2542.4924;1.0;1;318.31747;275.69815;2336.8347;1.0;2;328.53552;283.13098;2386.465;1.0;5;295.37714;285.30093;2388.501;1.0;6;234.84984;301.6727;2429.716;1.0;8;190.34564;319.18448;2237.1047;1.0;11;342.29514;265.6611;2285.1685;1.0;12;391.6115;281.18076;2341.2366;1.0;14;440.11627;260.09204;2554.4404;1.0;16;327.9165;294.4018;2459.8179;1.0;17;306.5704;342.0137;2025.6802;1.0;19;245.82721;340.84775;2252.715;1.0;20;348.96292;286.03867;2412.3728;1.0;21;347.17642;348.86075;2016.1698;1.0;23;333.72794;391.15875;2235.6306;1.0
2;1342369909409;fallen;0;295.10358;283.75552;2231.128;1.0;1;318.2012;278.80652;2310.8015;1.0;2;327.67117;284.63165;2364.454;1.0;5;292.12512;287.77945;2367.406;1.0;6;256.2048;299.95038;2481.6472;1.0;8;188.27791;317.51114;2269.8215;1.0;11;345.58685;269.38297;2254.197;1.0;12;396.75528;284.71143;2318.2017;1.0;14;446.98874;262.4108;2532.7546;1.0;16;321.61597;295.15405;2451.4934;1.0;17;294.9903;344.242;2009.2214;1.0;19;229.07446;338.85263;2220.2922;1.0;20;352.24878;285.10376;2384.7202;1.0;21;355.5258;345.52628;2020.8945;1.0;23;339.39847;389.72858;2189.6438;1.0
2;1342369909499;fallen;0;319.07965;233.68695;2140.4497;1.0;1;314.3845;281.91287;2298.2522;1.0;2;326.0183;286.5883;2359.6404;1.0;5;294.7818;280.06058;2361.527;1.0;6;257.10928;289.58353;2459.4192;1.0;8;189.0378;310.12308;2251.1401;1.0;11;335.09714;283.87003;2234.9773;1.0;12;375.86523;296.85498;2292.62;1.0;14;437.39404;268.1328;2570.4438;1.0;16;319.78998;289.2349;2477.7666;1.0;17;258.41434;326.49896;2062.5835;1.0;19;167.8387;302.62457;2164.9036;1.0;20;355.1633;292.90427;2364.2908;1.0;21;361.315;362.63974;2070.137;1.0;23;341.4924;387.11087;2254.949;1.0
2;1342369909570;fallen;0;382.51755;257.4412;2547.431;1.0;1;312.76773;282.14932;2306.674;1.0;2;327.3123;284.13895;2378.02;1.0;5;296.14008;280.6234;2364.2815;1.0;6;259.1215;292.6775;2441.7285;1.0;8;191.53395;310.46454;2233.9475;1.0;11;330.24716;283.75342;2249.0664;1.0;12;360.39377;297.24286;2288.1748;1.0;14;377.4602;275.6969;2491.1626;1.0;16;326.34164;284.64035;2500.9858;1.0;17;286.7159;320.5866;2171.1323;1.0;19;253.84158;285.78552;2266.7883;1.0;20;356.30893;287.4441;2397.746;1.0;21;342.35233;337.08664;2075.26;1.0;23;323.94232;385.99005;2225.419;1.0
