"idUSer";"timestamp";"code";"idJoint0";"x0";"y0";"z0";"a0";"idJoint1";"x1";"y1";"z1";"a1";"idJoint2";"x2";"y2";"z2";"a2";"idJoint5";"x5";"y5";"z5";"a5";"idJoint6";"x6";"y6";"z6";"a6";"idJoint8";"x8";"y8";"z8";"a8";"idJoint11";"x11";"y11";"z11";"a11";"idJoint12";"x12";"y12";"z12";"a12";"idJoint14";"x14";"y14";"z14";"a14";"idJoint16";"x16";"y16";"z16";"a16";"idJoint17";"x17";"y17";"z17";"a17";"idJoint19";"x19";"y19";"z19";"a19";"idJoint20";"x20";"y20";"z20";"a20";"idJoint21";"x21";"y21";"z21";"a21";"idJoint23";"x23";"y23";"z23";"a23"
1;1342173458639;standing;0;348.04614;99.07406;2018.6445;1.0;1;309.964;163.87479;2043.224;1.0;2;284.54672;211.41768;2085.7642;1.0;5;292.33078;158.57347;1929.1853;1.0;6;316.46793;214.64095;1784.6984;1.0;8;428.7458;287.7715;1652.7366;1.0;11;325.73294;168.61562;2157.2627;1.0;12;322.21436;220.02557;2160.1045;1.0;14;331.11682;249.35194;2364.822;1.0;16;246.88452;257.19348;2050.205;1.0;17;240.84395;375.27963;1997.2278;1.0;19;239.53964;470.2404;2112.1316;1.0;20;272.46777;256.93604;2206.4036;1.0;21;296.7099;365.5827;2143.2646;1.0;23;299.86926;451.502;2174.4543;1.0
1;1342173458768;standing;0;347.0387;98.60474;2019.458;1.0;1;305.49585;164.32327;2052.1082;1.0;2;283.7217;211.2889;2092.1997;1.0;5;287.64215;160.16533;1929.9045;1.0;6;313.86478;217.25414;1786.6768;1.0;8;418.11584;287.2505;1646.9562;1.0;11;321.34268;168.01382;2174.3115;1.0;12;322.89355;219.27771;2169.1575;1.0;14;333.42126;245.24602;2366.6633;1.0;16;250.69199;257.47394;2055.8389;1.0;17;240.562;376.715;1996.2628;1.0;19;235.91351;473.95673;2113.43;1.0;20;274.00482;255.57114;2208.744;1.0;21;295.802;365.67734;2145.6384;1.0;23;298.9339;454.42792;2199.6997;1.0
1;1342173458880;standing;0;335.83224;72.89187;2032.8374;1.0;1;301.7578;143.05615;2058.9348;1.0;2;287.74167;198.63934;2082.1545;1.0;5;276.61688;135.30757;1963.0253;1.0;6;258.84506;200.53745;1881.949;1.0;8;319.8324;272.88318;1745.1389;1.0;11;324.66074;150.11497;2154.8445;1.0;12;322.76364;199.1297;2241.4285;1.0;14;345.71002;258.40695;2223.6477;1.0;16;254.9144;251.28107;2033.6707;1.0;17;243.18939;369.4089;1963.9858;1.0;19;235.27625;464.57236;2093.7786;1.0;20;291.89554;254.59894;2177.078;1.0;21;302.11505;365.16318;2153.5657;1.0;23;296.70456;455.45215;2243.677;1.0
1;1342173458981;standing;0;329.75208;61.23069;2039.7504;1.0;1;299.3929;136.35512;2062.211;1.0;2;289.645;194.60223;2085.5403;1.0;5;270.23715;129.64807;1971.6564;1.0;6;246.11485;203.04291;1960.0608;1.0;8;277.16782;279.85788;1806.4841;1.0;11;326.09586;142.49791;2152.7656;1.0;12;329.78726;199.30423;2225.2168;1.0;14;351.9463;269.55075;2164.7288;1.0;16;262.34903;250.72343;2053.1116;1.0;17;243.8099;363.99268;1985.8966;1.0;19;233.73401;461.43326;2105.9858;1.0;20;296.96133;252.35474;2164.6277;1.0;21;303.44415;367.3517;2125.9146;1.0;23;298.74542;456.8834;2231.112;1.0
1;1342173459069;standing;0;326.46967;55.028587;2043.1996;1.0;1;306.5952;123.16288;2057.3599;1.0;2;294.69193;187.42966;2084.12;1.0;5;272.6734;115.10302;1991.5708;1.0;6;247.88922;191.39932;1969.8159;1.0;8;262.68747;272.59457;1824.6788;1.0;11;338.4148;130.72322;2123.1487;1.0;12;332.29565;199.69681;2219.1409;1.0;14;348.82095;282.97018;2144.3154;1.0;16;263.64093;247.89899;2072.505;1.0;17;243.14447;358.7307;2016.333;1.0;19;231.48926;459.95032;2120.1519;1.0;20;301.84543;252.15756;2149.2559;1.0;21;307.63303;370.312;2108.3564;1.0;23;301.81897;459.97357;2216.234;1.0
1;1342173459168;standing;0;323.56943;49.98814;2048.9475;1.0;1;301.41064;121.84601;2058.3054;1.0;2;294.56656;185.62646;2077.066;1.0;5;265.44547;116.53628;2020.207;1.0;6;227.82933;175.32587;2069.4075;1.0;8;226.72015;262.10272;1954.6924;1.0;11;336.0686;126.96275;2096.4038;1.0;12;341.6771;190.35442;2200.4216;1.0;14;356.8852;272.92075;2089.902;1.0;16;264.41388;246.37248;2070.5664;1.0;17;243.96722;357.97742;2026.5212;1.0;19;236.83223;456.67892;2131.2502;1.0;20;310.71808;250.11256;2121.0864;1.0;21;309.16754;370.0891;2109.536;1.0;23;303.11246;460.5711;2214.6687;1.0
1;1342173459259;standing;0;314.72903;44.643326;2055.8293;1.0;1;296.1962;117.735886;2071.6753;1.0;2;293.1159;180.27824;2081.8206;1.0;5;255.79974;115.16942;2061.21;1.0;6;223.64005;179.3138;2135.0037;1.0;8;218.77951;256.67215;2001.0437;1.0;11;336.18658;120.276535;2082.1406;1.0;12;360.07373;182.48648;2164.9663;1.0;14;359.30106;263.4893;2010.2488;1.0;16;263.2519;240.93097;2084.9448;1.0;17;247.14581;361.5511;2047.0781;1.0;19;243.63445;461.2182;2153.067;1.0;20;316.69974;243.48843;2098.9868;1.0;21;317.05878;362.74744;2108.488;1.0;23;305.11258;455.14706;2197.9229;1.0
1;1342173459351;standing;0;311.2823;41.767155;2069.3486;1.0;1;295.3284;114.538635;2077.6592;1.0;2;292.91653;177.1627;2089.6614;1.0;5;254.62012;113.17135;2084.6008;1.0;6;225.62495;177.82622;2165.5503;1.0;8;210.41367;248.56294;1964.3024;1.0;11;336.3096;115.91507;2070.7173;1.0;12;361.66043;178.41856;2164.04;1.0;14;346.13785;228.30528;1967.5293;1.0;16;262.7246;237.85374;2106.457;1.0;17;247.35399;356.29874;2060.0322;1.0;19;245.5537;462.95602;2166.1553;1.0;20;318.46704;240.2948;2096.87;1.0;21;316.4891;361.65005;2097.8035;1.0;23;306.01486;455.2482;2189.1204;1.0
1;1342173459415;standing;0;309.4089;41.305958;2071.3816;1.0;1;293.68213;113.550995;2082.8088;1.0;2;292.06635;176.06236;2092.8213;1.0;5;252.42572;112.98329;2095.2231;1.0;6;226.42911;178.07414;2169.6492;1.0;8;213.0107;250.31459;1969.2206;1.0;11;335.4333;114.12553;2070.3948;1.0;12;361.75235;176.24405;2171.803;1.0;14;338.46912;194.41705;1935.7882;1.0;16;262.89383;237.10593;2111.1973;1.0;17;247.29399;357.89935;2067.9448;1.0;19;245.10785;462.3369;2170.189;1.0;20;318.25824;238.85791;2094.47;1.0;21;317.31152;360.9296;2090.0693;1.0;23;309.05084;457.7981;2181.758;1.0
1;1342173459512;standing;0;304.26718;41.79943;2071.759;1.0;1;291.67435;116.547646;2092.2393;1.0;2;291.0005;179.13843;2099.9436;1.0;5;249.44101;116.90598;2110.32;1.0;6;220.47536;181.82468;2186.1707;1.0;8;237.53569;233.13075;1971.0696;1.0;11;334.64398;116.183075;2074.1584;1.0;12;360.15747;181.06755;2131.5986;1.0;14;340.03442;162.3564;1886.6691;1.0;16;262.97443;240.81139;2119.4136;1.0;17;243.1371;356.79312;2067.1973;1.0;19;241.22902;461.70636;2160.53;1.0;20;317.9959;241.73698;2095.882;1.0;21;317.37943;362.97205;2088.6082;1.0;23;310.06494;461.60156;2177.538;1.0
1;1342173459588;standing;0;300.79794;42.626556;2073.4216;1.0;1;289.75568;117.57037;2095.378;1.0;2;289.8958;180.40059;2100.2827;1.0;5;248.32855;118.68404;2115.8984;1.0;6;215.46516;182.37106;2195.3018;1.0;8;244.71452;219.0805;1971.6794;1.0;11;332.00223;116.434685;2074.8574;1.0;12;358.64548;181.62637;2087.1128;1.0;14;339.93707;162.60071;1875.311;1.0;16;262.88724;242.87108;2118.6516;1.0;17;240.19763;367.65854;2072.4211;1.0;19;240.28897;470.88;2166.7896;1.0;20;317.53287;243.00586;2091.7234;1.0;21;317.71414;359.29077;2085.1284;1.0;23;309.1616;456.9355;2180.5557;1.0
1;1342173459720;standing;0;289.76672;38.586708;2059.7263;1.0;1;285.683;113.3669;2088.4468;1.0;2;285.20953;178.22128;2092.2805;1.0;5;244.19376;113.928185;2104.746;1.0;6;217.09541;182.28531;2195.3328;1.0;8;238.93765;176.23401;1923.6979;1.0;11;327.825;112.79678;2072.1475;1.0;12;354.5134;172.2489;2091.7163;1.0;14;323.66266;193.50793;1914.1052;1.0;16;258.00787;242.55405;2106.6265;1.0;17;237.76941;366.76123;2066.253;1.0;19;239.65227;470.49292;2161.9026;1.0;20;311.73712;243.12572;2085.602;1.0;21;317.2069;359.9751;2082.1973;1.0;23;309.38776;459.32706;2176.5588;1.0
1;1342173459838;standing;0;282.14023;40.451237;2052.977;1.0;1;277.3483;115.133675;2084.2576;1.0;2;277.43683;178.35092;2086.594;1.0;5;235.74641;116.17753;2102.222;1.0;6;210.03093;185.76746;2167.7986;1.0;8;214.10832;183.22975;1821.7089;1.0;11;319.67358;114.07167;2066.2932;1.0;12;348.85168;173.15567;2131.1748;1.0;14;310.62622;201.42337;1951.5454;1.0;16;249.53209;241.40297;2101.0107;1.0;17;230.19661;365.5951;2074.7068;1.0;19;236.56668;468.55792;2165.09;1.0;20;305.84384;241.45085;2076.85;1.0;21;322.29633;366.69443;2029.0887;1.0;23;309.5581;460.6621;2169.4954;1.0
1;1342173460015;standing;0;281.47375;38.01802;2040.6698;1.0;1;271.06888;115.11031;2077.529;1.0;2;271.64047;178.33525;2084.9993;1.0;5;229.0385;115.928505;2088.3933;1.0;6;202.4146;186.04758;2133.9607;1.0;8;211.65613;197.50877;1818.7065;1.0;11;313.54117;114.28352;2066.6648;1.0;12;334.40152;180.54419;2159.0322;1.0;14;311.9523;195.94666;1894.3289;1.0;16;246.91292;241.20667;2099.0403;1.0;17;232.37273;364.2477;2071.1392;1.0;19;233.70901;460.65137;2166.7615;1.0;20;297.66245;241.01022;2085.8987;1.0;21;324.06302;357.3835;1975.1881;1.0;23;315.37534;454.49103;2121.5977;1.0
1;1342173460177;standing;0;290.807;30.437155;2004.7723;1.0;1;276.02747;109.31624;2064.8171;1.0;2;275.2172;173.74977;2065.6558;1.0;5;236.78358;109.60041;2077.6204;1.0;6;203.9185;176.78708;2126.8215;1.0;8;210.03165;190.02829;1816.3895;1.0;11;315.76105;109.02851;2052.0137;1.0;12;335.1047;175.84491;2144.256;1.0;14;330.812;177.9993;1836.168;1.0;16;247.44998;237.78082;2075.2817;1.0;17;227.20575;357.81445;2035.6294;1.0;19;226.59195;454.08127;2135.4722;1.0;20;301.5954;238.48416;2057.7073;1.0;21;318.57867;359.5247;1998.4921;1.0;23;315.85715;457.67606;2119.7317;1.0
1;1342173460330;standing;0;297.9253;19.44044;1987.9015;1.0;1;288.8688;98.33917;2053.2773;1.0;2;284.45932;165.0206;2058.3718;1.0;5;248.77194;97.023285;2076.0684;1.0;6;221.57208;164.92397;2132.7178;1.0;8;193.9283;181.10497;1835.0968;1.0;11;329.86578;99.6846;2030.4865;1.0;12;361.69553;162.7415;2133.7317;1.0;14;326.6717;194.01703;1855.3726;1.0;16;251.9886;229.4236;2079.4934;1.0;17;209.48128;343.99524;1996.019;1.0;19;200.84584;455.52386;2107.7185;1.0;20;308.5943;233.35245;2047.439;1.0;21;314.4192;356.37628;2028.8372;1.0;23;315.29425;457.97678;2117.1914;1.0
1;1342173460431;standing;0;300.64944;18.880978;1988.8506;1.0;1;292.3625;99.63248;2047.1449;1.0;2;286.61285;165.58165;2054.6196;1.0;5;251.42271;97.61654;2075.7107;1.0;6;226.04015;165.13004;2131.9065;1.0;8;203.78766;189.03702;1847.2545;1.0;11;334.46097;101.705475;2018.5792;1.0;12;365.09167;162.12173;2123.4353;1.0;14;333.55188;194.75024;1836.5557;1.0;16;253.29356;228.46332;2081.4885;1.0;17;207.03291;341.4699;1975.31;1.0;19;197.2632;447.8614;2093.272;1.0;20;309.04056;233.69125;2042.7002;1.0;21;314.70615;357.0929;2018.8617;1.0;23;311.1551;455.54547;2121.7212;1.0
1;1342173460624;standing;0;305.5094;22.543364;1987.9946;1.0;1;295.1414;102.39326;2044.6345;1.0;2;289.15683;166.44432;2052.2595;1.0;5;254.82484;100.06307;2071.9229;1.0;6;229.75877;165.85374;2144.4558;1.0;8;248.67519;202.78911;1899.1694;1.0;11;336.54868;104.78647;2017.3462;1.0;12;363.69022;169.62405;2121.333;1.0;14;333.52017;185.70921;1853.1002;1.0;16;256.039;227.30673;2078.4094;1.0;17;216.70433;344.56567;1971.558;1.0;19;204.03226;449.23956;2098.4314;1.0;20;310.8873;232.78496;2041.3596;1.0;21;315.38528;357.12897;2016.8706;1.0;23;312.1115;456.29102;2123.8945;1.0
